,geoid,date,value
61,3617,2009-05-20,1
61,0613,2009-05-20,1
61,3615,2009-05-20,1
61,4207,2009-05-20,1
61,0803,2009-05-20,1
61,0632,2009-05-20,1
61,0645,2009-05-20,1
61,3620,2009-05-20,1
61,4218,2009-05-20,1
61,2502,2009-05-20,1
61,2613,2009-05-20,1
61,1302,2009-05-20,1
61,3408,2009-05-20,1
61,4401,2009-05-20,1
61,4830,2009-05-20,1
61,0628,2009-05-20,1
61,5502,2009-05-20,1
61,0643,2009-05-20,1
61,2505,2009-05-20,1
61,3503,2009-05-20,1
61,1304,2009-05-20,1
61,4829,2009-05-20,1
61,0801,2009-05-20,1
61,5111,2009-05-20,1
61,0624,2009-05-20,1
61,6600,2009-05-20,1
61,2903,2009-05-20,1
61,4818,2009-05-20,1
61,1702,2009-05-20,1
61,0617,2009-05-20,1
61,3412,2009-05-20,1
61,3622,2009-05-20,1
61,0403,2009-05-20,1
61,0651,2009-05-20,1
61,2705,2009-05-20,1
61,1712,2009-05-20,1
61,7800,2009-05-20,1
61,2504,2009-05-20,1
65,0611,2009-02-09,1
65,1305,2009-02-09,1
65,1902,2009-02-09,1
65,3604,2009-02-09,1
65,0802,2009-02-09,1
65,5103,2009-02-09,1
65,4207,2009-02-09,1
65,0606,2009-02-09,1
65,2502,2009-02-09,1
65,3605,2009-02-09,1
65,3620,2009-02-09,1
65,3910,2009-02-09,1
65,2605,2009-02-09,1
65,0617,2009-02-09,1
65,4815,2009-02-09,1
65,3401,2009-02-09,1
65,3601,2009-02-09,1
65,1707,2009-02-09,1
65,0903,2009-02-09,1
65,3911,2009-02-09,1
65,0403,2009-02-09,1
65,1717,2009-02-09,1
65,1502,2009-02-09,1
65,3412,2009-02-09,1
66,False,2009-04-30,1
66,4805,2009-04-30,1
66,4814,2009-04-30,1
66,2406,2009-04-30,1
66,2611,2009-04-30,1
66,1805,2009-04-30,1
66,0408,2009-04-30,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
67,False,2009-10-15,1
70,5502,2009-07-13,1
70,1707,2009-07-13,1
70,4401,2009-07-13,1
70,4207,2009-07-13,1
70,1218,2009-07-13,1
71,4401,2010-04-14,1
