geoid,date,value
1710,2015-03-25,1
3301,2015-03-25,1
0617,2015-03-25,1
0611,2015-03-25,1
0626,2015-03-25,1
3604,2015-03-25,1
3703,2015-03-25,1
2705,2015-03-25,1
0641,2015-03-25,1
3625,2015-03-25,1
4104,2015-03-25,1
2704,2015-03-25,1
2502,2015-03-25,1
5301,2015-03-25,1
3408,2015-03-25,1
0602,2015-03-25,1
5307,2015-03-25,1
4709,2015-03-25,1
0802,2015-03-25,1
0905,2015-03-25,1
5306,2015-03-25,1
0619,2015-03-25,1
5302,2015-03-25,1
2701,2015-01-07,1
1201,2015-01-07,1
0905,2015-01-07,1
0902,2015-01-07,1
3404,2015-01-07,1
4218,2015-01-07,1
3625,2015-01-07,1
1701,2015-01-07,1
4816,2015-01-07,1
1308,2015-01-07,1
0401,2015-01-07,1
0652,2015-01-07,1
4208,2015-01-07,1
3603,2015-01-07,1
1711,2015-01-07,1
2905,2015-01-07,1
0603,2015-01-07,1
3503,2015-01-07,1
5000,2015-01-07,1
2702,2015-01-07,1
0645,2015-01-07,1
2708,2015-01-07,1
1218,2015-01-07,1
3501,2015-01-07,1
2301,2015-01-07,1
2703,2015-01-07,1
1705,2015-01-07,1
4101,2015-01-07,1
2707,2015-01-07,1
1205,2015-01-07,1
3302,2015-01-07,1
4401,2015-01-07,1
1717,2015-01-07,1
3902,2015-01-07,1
4206,2015-01-07,1
3619,2015-01-07,1
2907,2016-06-09,1
0503,2016-05-11,1
3202,2016-05-11,1
1502,2016-05-11,1
5502,2016-05-11,1
2001,2016-05-11,1
2907,2016-05-11,1
3501,2016-05-11,1
0905,2016-05-11,1
1802,2016-05-11,1
5402,2016-05-11,1
1710,2016-05-11,1
5302,2015-07-29,1
3201,2015-07-29,1
4818,2015-07-29,1
1701,2015-07-29,1
3618,2015-07-29,1
5301,2015-07-29,1
2704,2015-07-29,1
0403,2015-07-29,1
0647,2015-07-29,1
0627,2015-07-29,1
1902,2015-07-29,1
0633,2015-07-29,1
0630,2015-07-29,1
3401,2015-07-29,1
0615,2015-07-29,1
0611,2015-07-29,1
1313,2015-07-29,1
5502,2015-07-29,1
4816,2015-07-29,1
0644,2015-07-29,1
3610,2015-07-29,1
1000,2015-07-29,1
3903,2015-07-29,1
3603,2015-07-29,1
2502,2015-07-29,1
4201,2015-07-29,1
0619,2015-07-29,1
4709,2015-07-29,1
3712,2015-07-29,1
5310,2015-07-29,1
0609,2016-07-14,1
3607,2016-07-14,1
3302,2016-07-14,1
0806,2016-07-14,1
0641,2016-07-14,1
2001,2015-11-10,1
1802,2015-03-11,1
0806,2016-03-03,1
5306,2016-03-03,1
3604,2016-03-03,1
4206,2016-03-03,1
3703,2016-03-03,1
4816,2016-03-03,1
3602,2016-03-03,1
1502,2016-03-03,1
3102,2016-03-03,1
0615,2016-03-03,1
0650,2016-03-03,1
3601,2016-02-09,1
3604,2016-02-09,1
3619,2016-02-09,1
3602,2016-02-09,1
3603,2016-02-09,1
3627,2016-02-09,1
1217,2016-02-09,1
3624,2016-02-09,1
2907,2015-06-25,1
1802,2015-03-11,1
2001,2015-03-23,1
2206,2015-03-23,1
0626,2015-04-22,1
0636,2015-04-22,1
0641,2015-04-22,1
1205,2015-04-22,1
3201,2015-04-22,1
2701,2015-04-22,1
0609,2015-04-22,1
3302,2015-04-22,1
3604,2015-04-22,1
4816,2015-04-22,1
6600,2015-04-22,1
3613,2015-04-22,1
2614,2015-04-22,1
3626,2015-04-22,1
0617,2015-04-22,1
1502,2015-04-22,1
3603,2015-04-22,1
0619,2015-04-22,1
3617,2015-04-22,1
0652,2015-04-22,1
4402,2015-04-22,1
5000,2015-04-22,1
4709,2015-04-22,1
2505,2015-04-22,1
4104,2015-04-22,1
0632,2015-04-22,1
2609,2015-04-22,1
0627,2015-04-22,1
0646,2015-04-22,1
0611,2015-04-22,1
3503,2015-04-22,1
5502,2015-06-22,1
5402,2015-06-22,1
1502,2015-06-22,1
2505,2015-06-22,1
2001,2015-06-22,1
1710,2015-06-22,1
3202,2015-06-25,1
2001,2015-06-25,1
5502,2015-06-25,1
1802,2015-06-25,1
1502,2015-06-25,1
4218,2015-01-20,1
0652,2015-01-20,1
1203,2015-01-20,1
0401,2015-01-20,1
0650,2015-01-20,1
3302,2015-01-20,1
2601,2015-01-20,1
1502,2015-01-20,1
1212,2015-01-12,1
1222,2015-01-12,1
1213,2015-01-12,1
3906,2015-01-12,1
2804,2015-01-12,1
0636,2015-01-12,1
1220,2015-01-12,1
3913,2015-01-12,1
5106,2015-01-12,1
1802,2015-01-12,1
3000,2015-01-12,1
4212,2015-01-12,1
4805,2015-01-12,1
0806,2015-01-12,1
1211,2015-01-12,1
1216,2015-01-12,1
2701,2015-01-12,1
4703,2015-01-12,1
1215,2015-01-12,1
1218,2015-01-12,1
1205,2015-01-12,1
4208,2015-01-12,1
3302,2015-01-12,1
0629,2015-01-12,1
3502,2015-01-12,1
4828,2015-01-12,1
4706,2015-01-12,1
0632,2015-01-12,1
0641,2015-01-12,1
3703,2015-01-12,1
0641,2016-09-15,1
4402,2016-09-15,1
4816,2016-07-06,1
3703,2016-07-06,1
4004,2015-07-10,1
1201,2016-05-19,1
