geoid,date,value
0641,2015-04-23,1
2704,2015-04-23,1
3703,2015-04-23,1
1802,2015-03-11,1
0503,2015-03-11,1
2605,2015-11-05,1
4816,2015-11-05,1
2506,2015-11-05,1
1710,2015-10-01,1
2701,2015-01-07,1
1201,2015-01-07,1
0905,2015-01-07,1
0902,2015-01-07,1
3404,2015-01-07,1
4218,2015-01-07,1
3625,2015-01-07,1
1701,2015-01-07,1
4816,2015-01-07,1
1308,2015-01-07,1
0401,2015-01-07,1
0652,2015-01-07,1
4208,2015-01-07,1
3603,2015-01-07,1
1711,2015-01-07,1
2905,2015-01-07,1
0603,2015-01-07,1
3503,2015-01-07,1
5000,2015-01-07,1
2702,2015-01-07,1
0645,2015-01-07,1
2708,2015-01-07,1
1218,2015-01-07,1
3501,2015-01-07,1
2301,2015-01-07,1
2703,2015-01-07,1
1705,2015-01-07,1
4101,2015-01-07,1
2707,2015-01-07,1
1205,2015-01-07,1
3302,2015-01-07,1
4401,2015-01-07,1
1717,2015-01-07,1
3902,2015-01-07,1
4206,2015-01-07,1
3619,2015-01-07,1
1702,2016-07-07,1
2614,2016-07-07,1
4818,2016-07-07,1
1709,2016-07-07,1
3412,2016-07-07,1
2202,2016-07-07,1
2802,2016-07-07,1
3609,2016-07-07,1
2505,2016-07-07,1
1305,2016-07-07,1
1701,2016-07-07,1
1707,2016-07-07,1
3903,2016-07-07,1
0613,2016-07-07,1
0903,2016-07-07,1
2905,2016-07-07,1
0643,2016-07-07,1
0637,2016-07-07,1
3410,2016-07-07,1
4401,2016-07-07,1
3608,2016-07-07,1
3712,2016-07-07,1
1224,2016-07-07,1
0901,2016-07-07,1
4506,2016-07-07,1
3911,2016-07-07,1
0801,2016-07-07,1
2502,2016-07-07,1
3701,2016-07-07,1
3605,2016-07-07,1
1205,2016-07-07,1
1220,2016-07-07,1
4809,2016-07-07,1
7800,2016-07-07,1
1807,2016-07-07,1
2901,2016-07-07,1
1313,2016-07-07,1
4833,2016-07-07,1
2705,2016-07-07,1
3615,2016-07-07,1
0641,2016-07-07,1
5504,2016-07-07,1
4830,2016-07-07,1
5302,2015-07-29,1
3201,2015-07-29,1
4818,2015-07-29,1
1701,2015-07-29,1
3618,2015-07-29,1
5301,2015-07-29,1
2704,2015-07-29,1
0403,2015-07-29,1
0647,2015-07-29,1
0627,2015-07-29,1
1902,2015-07-29,1
0633,2015-07-29,1
0630,2015-07-29,1
3401,2015-07-29,1
0615,2015-07-29,1
0611,2015-07-29,1
1313,2015-07-29,1
5502,2015-07-29,1
4816,2015-07-29,1
0644,2015-07-29,1
3610,2015-07-29,1
1000,2015-07-29,1
3903,2015-07-29,1
3603,2015-07-29,1
2502,2015-07-29,1
4201,2015-07-29,1
0619,2015-07-29,1
4709,2015-07-29,1
3712,2015-07-29,1
5310,2015-07-29,1
0652,2015-06-03,1
2609,2015-06-03,1
3613,2015-06-03,1
2704,2015-06-03,1
4202,2015-06-03,1
6600,2015-06-03,1
3909,2015-06-03,1
1220,2015-06-03,1
4818,2015-06-03,1
0807,2015-06-03,1
2103,2015-06-03,1
6900,2015-06-03,1
0632,2015-06-03,1
0647,2015-06-03,1
0613,2015-06-03,1
2406,2015-06-03,1
0653,2015-06-03,1
0614,2015-06-03,1
3913,2015-06-03,1
1902,2015-06-03,1
0651,2015-06-03,1
1702,2015-06-03,1
5111,2015-06-03,1
5504,2015-06-03,1
0627,2015-06-03,1
0605,2015-06-03,1
2612,2015-06-03,1
1707,2015-06-03,1
0629,2015-06-03,1
1802,2015-03-11,1
0806,2016-03-03,1
5306,2016-03-03,1
3604,2016-03-03,1
4206,2016-03-03,1
3703,2016-03-03,1
4816,2016-03-03,1
3602,2016-03-03,1
1502,2016-03-03,1
3102,2016-03-03,1
0615,2016-03-03,1
0650,2016-03-03,1
1802,2015-03-11,1
3202,2015-06-25,1
2001,2015-06-25,1
5502,2015-06-25,1
1802,2015-06-25,1
1502,2015-06-25,1
4218,2015-01-20,1
0652,2015-01-20,1
1203,2015-01-20,1
0401,2015-01-20,1
0650,2015-01-20,1
3302,2015-01-20,1
2601,2015-01-20,1
1502,2015-01-20,1
1212,2015-01-12,1
1222,2015-01-12,1
1213,2015-01-12,1
3906,2015-01-12,1
2804,2015-01-12,1
0636,2015-01-12,1
1220,2015-01-12,1
3913,2015-01-12,1
5106,2015-01-12,1
1802,2015-01-12,1
3000,2015-01-12,1
4212,2015-01-12,1
4805,2015-01-12,1
0806,2015-01-12,1
1211,2015-01-12,1
1216,2015-01-12,1
2701,2015-01-12,1
4703,2015-01-12,1
1215,2015-01-12,1
1218,2015-01-12,1
1205,2015-01-12,1
4208,2015-01-12,1
3302,2015-01-12,1
0629,2015-01-12,1
3502,2015-01-12,1
4828,2015-01-12,1
4706,2015-01-12,1
0632,2015-01-12,1
0641,2015-01-12,1
3703,2015-01-12,1
4816,2016-07-06,1
3703,2016-07-06,1
0905,2015-10-08,1
2206,2015-10-08,1
1201,2016-05-19,1
0652,2015-06-25,1
3703,2015-06-25,1
3410,2015-06-25,1
0611,2015-06-25,1
2704,2015-10-09,1
3913,2015-10-09,1
0632,2015-10-09,1
3603,2017-05-25,1
3703,2017-05-25,1
0905,2017-03-22,1
2505,2017-03-22,1
5502,2017-03-22,1
2614,2017-03-22,1
5102,2018-05-29,1
3913,2018-05-29,1
5110,2018-05-29,1
0407,2018-05-29,1
1803,2018-05-29,1
1212,2018-05-29,1
1806,2018-05-29,1
1217,2018-05-29,1
0625,2018-05-29,1
4815,2018-05-29,1
3624,2018-05-29,1
0608,2018-05-29,1
0620,2018-05-29,1
0404,2018-05-29,1
1215,2018-05-29,1
2002,2018-05-29,1
0803,2018-05-29,1
1807,2018-05-29,1
2605,2018-05-29,1
0408,2018-05-29,1
4004,2018-05-29,1
5502,2017-03-22,1
3620,2017-03-22,1
4816,2017-03-22,1
1712,2017-03-22,1
0652,2017-03-22,1
4815,2017-03-22,1
2506,2017-03-22,1
4104,2017-03-22,1
0617,2017-03-22,1
4834,2017-03-22,1
3604,2017-03-22,1
4833,2017-03-22,1
0652,2017-06-16,1
3703,2017-06-16,1
0605,2017-06-16,1
4816,2017-02-15,1
3703,2017-02-15,1
0644,2017-02-15,1
1702,2018-03-05,1
2505,2018-03-05,1
4809,2018-03-05,1
3609,2018-03-05,1
5504,2018-03-05,1
3615,2018-03-05,1
0643,2018-03-05,1
0801,2018-03-05,1
1709,2018-03-05,1
1707,2018-03-05,1
1220,2018-03-05,1
4401,2018-03-05,1
3608,2018-03-05,1
0640,2018-03-05,1
0806,2017-02-07,1
5306,2017-02-07,1
3604,2017-02-07,1
4207,2017-02-07,1
3703,2017-02-07,1
1302,2017-02-07,1
4206,2017-02-07,1
2002,2017-02-07,1
3602,2017-02-07,1
0615,2017-02-07,1
0904,2017-02-07,1
2601,2017-02-07,1
3302,2017-02-07,1
6000,2017-02-07,1
3301,2017-02-07,1
0639,2017-02-07,1
1502,2017-02-07,1
0902,2017-02-07,1
2504,2017-02-07,1
1216,2017-02-07,1
1204,2017-02-07,1
1902,2017-02-07,1
2203,2017-02-07,1
1701,2017-02-07,1
5504,2017-02-07,1
4103,2017-02-07,1
